file,duration_s,max_prob,t_max_s,frames_ge_097,frames_ge_099,rms,zcr,centroid_hz,flatness,onset_periodicity,onset_hz,tempo_bpm
20260410_211602_567860_kuule_kratt_v9_p0.996_c23.wav,6.0,0.99609375,3.02,122,94,0.006788027938455343,0.03562811980033277,610.920863738076,0.0028472982812672853,0.6172956228256226,5.555555555555555,111.11111111111111
20260410_211600_552189_kuule_kratt_v9_p0.988_c22.wav,6.0,0.9921875,5.0,34,11,0.006054069381207228,0.026668053244592347,536.8258969912956,0.002080788603052497,0.5847388505935669,50.0,109.0909090909091
20260410_211551_866129_kuule_kratt_v9_p0.988_c21.wav,6.0,0.99609375,2.8000000000000003,121,83,0.011678843759000301,0.031996672212978375,703.9430813935899,0.005306295584887266,0.6841699481010437,4.545454545454546,139.53488372093022
20260410_211549_581709_kuule_kratt_v9_p0.992_c20.wav,6.0,0.99609375,0.04,72,45,0.010630843229591846,0.023810316139767057,644.8234075925309,0.0036400288809090853,0.5855556726455688,4.3478260869565215,130.43478260869566
20260410_211446_824998_kuule_kratt_v9_p0.988_c19.wav,6.0,0.99609375,0.7000000000000001,91,71,0.057544004172086716,0.021322795341098173,688.0125264034915,0.008361919783055782,0.6954013109207153,4.545454545454546,136.36363636363637
20260410_211434_203952_kuule_kratt_v9_p0.996_c18.wav,6.0,0.99609375,0.0,503,376,0.017742617055773735,0.02815307820299501,874.4801563224314,0.029721001163125038,0.6908767819404602,5.555555555555555,162.16216216216216
20260410_211432_192124_kuule_kratt_v9_p0.984_c17.wav,6.0,0.99609375,0.0,412,295,0.016702847555279732,0.02607737104825291,788.9320609738987,0.01614264026284218,0.6951961517333984,5.555555555555555,166.66666666666666
20260410_211430_063421_kuule_kratt_v9_p0.996_c16.wav,6.0,0.99609375,0.0,336,291,0.01585204340517521,0.0235108153078203,651.7147825884063,0.007369746919721365,0.7726417183876038,5.555555555555555,166.66666666666666
20260410_211428_053739_kuule_kratt_v9_p0.984_c15.wav,6.0,0.99609375,0.0,125,110,0.014770898036658764,0.021460066555740433,577.4097464218426,0.0045985509641468525,0.566471517086029,5.555555555555555,111.11111111111111
20260410_211420_478191_kuule_kratt_v9_p0.984_c14.wav,6.0,0.99609375,0.0,45,21,0.007192612625658512,0.016876039933444262,398.0730862408569,0.0006270988960750401,0.6135107278823853,4.545454545454546,136.36363636363637
20260410_211414_809589_kuule_kratt_v9_p0.988_c13.wav,6.0,0.9921875,5.0,16,7,0.0058237346820533276,0.01766638935108153,377.18472590399733,0.00040890334639698267,0.6077024936676025,5.0,153.84615384615384
20260410_211317_459721_kuule_kratt_v9_p0.992_c12.wav,6.0,0.99609375,4.99,37,23,0.0056431228294968605,0.018539933444259568,396.61950696102207,0.00043285611900500953,0.6112291812896729,50.0,133.33333333333334
20260410_211310_029257_kuule_kratt_v9_p0.996_c11.wav,6.0,0.99609375,2.18,105,70,0.006612289231270552,0.027117304492512477,438.563784385792,0.0005010655731894076,0.5765304565429688,50.0,127.65957446808511
20260410_211307_910070_kuule_kratt_v9_p0.996_c10.wav,6.0,0.99609375,1.46,92,63,0.006631858646869659,0.02794509151414309,418.1866991982504,0.0003072511462960392,0.5488334894180298,50.0,127.65957446808511
20260410_211305_787382_kuule_kratt_v9_p0.992_c9.wav,6.0,0.99609375,2.6,84,52,0.0063353292644023895,0.02790765391014975,419.5586897023017,0.00030341275851242244,0.5400696396827698,50.0,127.65957446808511
20260410_211303_627841_kuule_kratt_v9_p0.988_c8.wav,6.0,0.99609375,1.97,118,74,0.006096444092690945,0.02809484193011647,425.6540642257404,0.0003659666981548071,0.590179443359375,0.4716981132075472,127.65957446808511
20260410_211301_513262_kuule_kratt_v9_p0.996_c7.wav,6.0,0.99609375,2.62,83,49,0.005713087040930986,0.0275,428.4045653535608,0.0003300278331153095,0.528347909450531,50.0,125.0
20260410_211259_385728_kuule_kratt_v9_p0.988_c6.wav,6.0,0.99609375,2.61,43,26,0.005331364460289478,0.027820299500831952,434.36896019876366,0.0004414426221046597,0.5213291645050049,50.0,125.0
20260410_211257_220404_kuule_kratt_v9_p0.992_c5.wav,6.0,0.99609375,2.86,38,28,0.004751976113766432,0.027886855241264556,454.63001640229726,0.00039111258229240775,0.5301478505134583,50.0,125.0
20260410_211255_079357_kuule_kratt_v9_p0.992_c4.wav,6.0,0.99609375,2.05,24,9,0.004043999593704939,0.023539933444259566,434.81208717067915,0.0004500420473050326,0.5542541146278381,50.0,122.44897959183673
