candidate_idx,max_prob,t_max_s,mean_prob,p95_prob,frames,bpm,subdivision,pulse_kind,carrier_hz,burst_ms,decay_ms,noise_low_hz,noise_high_hz,rms,frames_ge_0p97,detections_ge_0p97,frames_ge_0p99,detections_ge_0p99,frames_ge_0p995,detections_ge_0p995,frames_ge_0p996,detections_ge_0p996,frames_ge_0p999,detections_ge_0p999
205,0.99609375,1.05,0.6015234589576721,0.99609375,600,90,2,noise,350,6,60,1500,3500,0.01,185,3,112,3,97,3,97,3,0,0
209,0.99609375,1.06,0.3267512917518616,0.91796875,600,90,2,noise,350,12,25,900,3500,0.01,9,1,3,1,1,1,1,1,0,0
213,0.99609375,1.02,0.42131510376930237,0.9845703124999998,600,90,2,noise,350,12,25,1500,3500,0.01,45,1,25,1,19,1,19,1,0,0
221,0.99609375,1.07,0.5012890696525574,0.99609375,600,90,2,noise,350,12,60,1500,3500,0.01,118,3,60,3,45,1,45,1,0,0
225,0.99609375,1.06,0.40083983540534973,0.8828125,600,90,2,noise,700,6,25,900,3500,0.01,10,1,4,1,3,1,3,1,0,0
237,0.99609375,1.04,0.5630859136581421,0.99609375,600,90,2,noise,700,6,60,1500,3500,0.01,130,3,68,3,47,3,47,3,0,0
239,0.99609375,5.03,0.2577018141746521,0.91796875,600,90,2,noise,700,6,60,1500,5500,0.01,9,2,3,2,2,1,2,1,0,0
241,0.99609375,1.05,0.33331379294395447,0.8382812499999979,600,90,2,noise,700,12,25,900,3500,0.01,11,1,6,1,5,1,5,1,0,0
245,0.99609375,0.66,0.4099544286727905,0.9921875,600,90,2,noise,700,12,25,1500,3500,0.01,58,2,35,2,26,1,26,1,0,0
253,0.99609375,1.32,0.5742773413658142,0.99609375,600,90,2,noise,700,12,60,1500,3500,0.01,169,3,100,3,85,3,85,3,0,0
289,0.99609375,1.07,0.30194011330604553,0.9617187499999993,600,90,2,hybrid,700,6,25,900,3500,0.01,30,1,6,1,4,1,4,1,0,0
346,0.99609375,2.97,0.6906185150146484,0.9921875,600,90,2,tone,350,12,60,900,3500,0.03,124,3,34,2,20,2,20,2,0,0
347,0.99609375,0.05,0.12893229722976685,0.6015625,600,90,2,tone,350,12,60,900,5500,0.01,7,1,3,1,3,1,3,1,0,0
348,0.99609375,2.97,0.6906185150146484,0.9921875,600,90,2,tone,350,12,60,900,5500,0.03,124,3,34,2,20,2,20,2,0,0
349,0.99609375,0.05,0.12893229722976685,0.6015625,600,90,2,tone,350,12,60,1500,3500,0.01,7,1,3,1,3,1,3,1,0,0
350,0.99609375,2.97,0.6906185150146484,0.9921875,600,90,2,tone,350,12,60,1500,3500,0.03,124,3,34,2,20,2,20,2,0,0
351,0.99609375,0.05,0.12893229722976685,0.6015625,600,90,2,tone,350,12,60,1500,5500,0.01,7,1,3,1,3,1,3,1,0,0
352,0.99609375,2.97,0.6906185150146484,0.9921875,600,90,2,tone,350,12,60,1500,5500,0.03,124,3,34,2,20,2,20,2,0,0
353,0.99609375,0.05,0.9659765362739563,0.99609375,600,90,2,tone,700,6,25,900,3500,0.01,547,3,523,3,510,3,510,3,0,0
354,0.99609375,0.01,0.994335949420929,0.99609375,600,90,2,tone,700,6,25,900,3500,0.03,589,3,555,3,538,3,538,3,0,0
355,0.99609375,0.02,0.9944856762886047,0.99609375,600,90,2,tone,700,6,25,900,5500,0.01,592,3,546,3,519,3,519,3,0,0
356,0.99609375,0.01,0.9943294525146484,0.99609375,600,90,2,tone,700,6,25,900,5500,0.03,589,3,556,3,538,3,538,3,0,0
357,0.99609375,0.02,0.9944856762886047,0.99609375,600,90,2,tone,700,6,25,1500,3500,0.01,592,3,546,3,519,3,519,3,0,0
358,0.99609375,0.01,0.9943294525146484,0.99609375,600,90,2,tone,700,6,25,1500,3500,0.03,589,3,556,3,538,3,538,3,0,0
359,0.99609375,0.02,0.9944856762886047,0.99609375,600,90,2,tone,700,6,25,1500,5500,0.01,592,3,546,3,519,3,519,3,0,0
360,0.99609375,0.01,0.9943294525146484,0.99609375,600,90,2,tone,700,6,25,1500,5500,0.03,589,3,556,3,538,3,538,3,0,0
361,0.99609375,0.02,0.7769075632095337,0.99609375,600,90,2,tone,700,6,60,900,3500,0.01,156,3,117,1,105,1,105,1,0,0
363,0.99609375,1.05,0.6989062428474426,0.99609375,600,90,2,tone,700,6,60,900,5500,0.01,78,3,46,1,35,1,35,1,0,0
365,0.99609375,1.05,0.6989062428474426,0.99609375,600,90,2,tone,700,6,60,1500,3500,0.01,78,3,46,1,35,1,35,1,0,0
367,0.99609375,1.05,0.6989062428474426,0.99609375,600,90,2,tone,700,6,60,1500,5500,0.01,78,3,46,1,35,1,35,1,0,0
369,0.99609375,1.06,0.7668880224227905,0.99609375,600,90,2,tone,700,12,25,900,3500,0.01,218,3,129,3,102,3,102,3,0,0
370,0.99609375,0.05,0.9016406536102295,0.99609375,600,90,2,tone,700,12,25,900,3500,0.03,277,3,135,3,93,3,93,3,0,0
371,0.99609375,0.06,0.8598958253860474,0.99609375,600,90,2,tone,700,12,25,900,5500,0.01,245,3,141,3,108,3,108,3,0,0
372,0.99609375,0.05,0.9016406536102295,0.99609375,600,90,2,tone,700,12,25,900,5500,0.03,277,3,135,3,93,3,93,3,0,0
373,0.99609375,0.06,0.8598958253860474,0.99609375,600,90,2,tone,700,12,25,1500,3500,0.01,245,3,141,3,108,3,108,3,0,0
374,0.99609375,0.05,0.9016406536102295,0.99609375,600,90,2,tone,700,12,25,1500,3500,0.03,277,3,135,3,93,3,93,3,0,0
375,0.99609375,0.06,0.8598958253860474,0.99609375,600,90,2,tone,700,12,25,1500,5500,0.01,245,3,141,3,108,3,108,3,0,0
376,0.99609375,0.05,0.9016406536102295,0.99609375,600,90,2,tone,700,12,25,1500,5500,0.03,277,3,135,3,93,3,93,3,0,0
377,0.99609375,0.06,0.18411459028720856,0.9609375,600,90,2,tone,700,12,60,900,3500,0.01,24,1,8,1,6,1,6,1,0,0
385,0.99609375,4.1,0.4615234434604645,0.9609375,600,120,1,noise,350,6,25,900,3500,0.01,27,2,6,1,2,1,2,1,0,0
397,0.99609375,0.92,0.4914778769016266,0.9453125,600,120,1,noise,350,6,60,1500,3500,0.01,17,2,8,1,7,1,7,1,0,0
399,0.99609375,0.23,0.2796289026737213,0.91796875,600,120,1,noise,350,6,60,1500,5500,0.01,13,1,7,1,5,1,5,1,0,0
401,0.99609375,0.73,0.4575260281562805,0.9609375,600,120,1,noise,350,12,25,900,3500,0.01,23,1,7,1,1,1,1,1,0,0
413,0.99609375,2.57,0.5165950655937195,0.9453125,600,120,1,noise,350,12,60,1500,3500,0.01,16,2,4,1,3,1,3,1,0,0
417,0.99609375,0.71,0.4948437511920929,0.9765625,600,120,1,noise,700,6,25,900,3500,0.01,34,2,14,1,11,1,11,1,0,0
418,0.99609375,1.6,0.4013085961341858,0.9453125,600,120,1,noise,700,6,25,900,3500,0.03,19,2,5,1,3,1,3,1,0,0
429,0.99609375,0.93,0.6411523222923279,0.984375,600,120,1,noise,700,6,60,1500,3500,0.01,50,3,24,2,16,1,16,1,0,0
430,0.99609375,2.73,0.25306642055511475,0.8359375,600,120,1,noise,700,6,60,1500,3500,0.03,14,1,5,1,4,1,4,1,0,0
437,0.99609375,1.1,0.19132161140441895,0.8359375,600,120,1,noise,700,12,25,1500,3500,0.01,10,1,6,1,3,1,3,1,0,0
446,0.99609375,5.72,0.17694009840488434,0.8359375,600,120,1,noise,700,12,60,1500,3500,0.03,10,1,4,1,3,1,3,1,0,0
481,0.99609375,1.19,0.49271485209465027,0.9609375,600,120,1,hybrid,700,6,25,900,3500,0.01,29,3,10,1,8,1,8,1,0,0
498,0.99609375,2.1,0.45043620467185974,0.98828125,600,120,1,hybrid,700,12,25,900,3500,0.03,62,3,23,2,14,2,14,2,0,0
499,0.99609375,0.1,0.34817707538604736,0.91796875,600,120,1,hybrid,700,12,25,900,5500,0.01,8,2,3,1,1,1,1,1,0,0
43,0.9921875,4.15,0.25492188334465027,0.8845703124999984,600,90,1,noise,700,6,60,900,5500,0.01,8,1,1,1,0,0,0,0,0,0
53,0.9921875,0.77,0.24878905713558197,0.9453125,600,90,1,noise,700,12,25,1500,3500,0.01,13,1,1,1,0,0,0,0,0,0
59,0.9921875,3.49,0.23570312559604645,0.91796875,600,90,1,noise,700,12,60,900,5500,0.01,7,1,1,1,0,0,0,0,0,0
145,0.9921875,5.53,0.41300129890441895,0.9453125,600,90,1,tone,350,12,25,900,3500,0.01,16,3,1,1,0,0,0,0,0,0
171,0.9921875,1.06,0.1087239608168602,0.5,600,90,1,tone,700,6,60,900,5500,0.01,2,1,1,1,0,0,0,0,0,0
173,0.9921875,1.06,0.1087239608168602,0.5,600,90,1,tone,700,6,60,1500,3500,0.01,2,1,1,1,0,0,0,0,0,0
175,0.9921875,1.06,0.1087239608168602,0.5,600,90,1,tone,700,6,60,1500,5500,0.01,2,1,1,1,0,0,0,0,0,0
179,0.9921875,4.3,0.6219466328620911,0.9769531249999996,600,90,1,tone,700,12,25,900,5500,0.01,46,3,2,1,0,0,0,0,0,0
181,0.9921875,4.3,0.6219466328620911,0.9769531249999996,600,90,1,tone,700,12,25,1500,3500,0.01,46,3,2,1,0,0,0,0,0,0
183,0.9921875,4.3,0.6219466328620911,0.9769531249999996,600,90,1,tone,700,12,25,1500,5500,0.01,46,3,2,1,0,0,0,0,0,0
223,0.9921875,1.37,0.27259114384651184,0.8828125,600,90,2,noise,350,12,60,1500,5500,0.01,4,1,1,1,0,0,0,0,0,0
254,0.9921875,0.06,0.14967447519302368,0.7734375,600,90,2,noise,700,12,60,1500,3500,0.03,4,1,1,1,0,0,0,0,0,0
402,0.9921875,0.62,0.2108268290758133,0.8359375,600,120,1,noise,350,12,25,900,3500,0.03,8,1,1,1,0,0,0,0,0,0
482,0.9921875,2.7,0.5598437786102295,0.984375,600,120,1,hybrid,700,6,25,900,3500,0.03,59,3,4,2,0,0,0,0,0,0
14,0.98828125,1.73,0.23499999940395355,0.7734375,600,90,1,noise,350,6,60,1500,3500,0.03,1,1,0,0,0,0,0,0,0,0
27,0.98828125,2.1,0.21751302480697632,0.8828125,600,90,1,noise,350,12,60,900,5500,0.01,7,1,0,0,0,0,0,0,0,0
30,0.98828125,3.69,0.3511979281902313,0.8828125,600,90,1,noise,350,12,60,1500,3500,0.03,8,1,0,0,0,0,0,0,0,0
60,0.98828125,0.15,0.08811848610639572,0.3984375,600,90,1,noise,700,12,60,900,5500,0.03,5,1,0,0,0,0,0,0,0,0
98,0.98828125,5.44,0.466692715883255,0.9453125,600,90,1,hybrid,700,6,25,900,3500,0.03,12,2,0,0,0,0,0,0,0,0
